Players,Span,Matches,Innings,Not outs,Runs,High Score,Average,Balls faced,Strike rate,100s,50s,0s,4s,6s
RM Siri (Arg),2019-2021,10,10,2,206,49*,25.75,203,101.47,0,0,1,17,2
G Thakur (MLT),2023-2023,8,8,1,206,62,29.42,155,132.9,0,1,0,23,6
P Aho (NGA),2021-2024,37,21,6,205,44*,13.66,186,110.21,0,0,4,14,2
P Heron (CAY),2022-2023,11,11,2,205,59,22.77,203,100.98,0,2,2,12,6
DL Vettori (NZ),2007-2014,34,22,6,205,38,12.81,190,107.89,0,0,3,14,2
MRJ Watt (SCOT),2015-2024,67,29,11,205,31*,11.38,176,116.47,0,0,5,19,3
U Aryaman Sunil (SGP),2019-2022,25,23,5,203,36*,11.27,162,125.3,0,0,3,11,13
S Ashwathnarayana (HUN),2021-2022,14,11,3,203,52,25.37,162,125.3,0,1,1,14,11
JM Kemp (SA),2005-2007,8,7,3,203,89*,50.75,160,126.87,0,1,0,17,10
Scott Austin (CYP),2021-2024,15,14,0,203,46,14.5,219,92.69,0,0,2,15,3
DS Smith (WI),2007-2009,6,6,0,203,61,33.83,161,126.08,0,2,0,22,5
R Gunasekera (CAN),2012-2013,8,8,0,202,65,25.25,188,107.44,0,1,0,23,4
A Otwani (UGA),2019-2022,17,16,0,202,44,12.62,198,102.02,0,0,4,25,3
HER Tyler (PHI),2019-2023,15,14,0,202,38,14.42,153,132.02,0,0,2,18,12
J Botha (SA),2006-2012,40,20,9,201,34,18.27,165,121.81,0,0,1,15,9
Kamran Ahmadzai (Fran),2024-2024,9,9,2,201,56,28.71,112,179.46,0,1,0,14,14
Tenjin Rabgey (BHU),2022-2024,16,16,0,201,50,12.56,267,75.28,0,1,3,16,1
S Pokhriyal (CZK-R),2019-2020,9,9,1,200,79,25,186,107.52,0,1,1,31,3
W Boshoff (SWE),2021-2023,20,17,0,199,40,11.7,243,81.89,0,0,2,13,2
R Gaznavi (SGP),2019-2024,24,22,2,199,30,9.95,248,80.24,0,0,3,16,3
DM Gondaria (KENYA),2013-2019,11,9,2,199,85*,28.42,157,126.75,0,1,0,12,6
Ibrahim Hassan (MDV),2019-2024,38,30,7,199,20*,8.65,247,80.56,0,0,3,9,5
AJ Hosein (WI),2021-2024,57,24,11,198,44*,15.23,176,112.5,0,0,3,14,9
TK Musakanda (ZIM),2018-2021,12,12,0,197,43,16.41,164,120.12,0,0,2,17,4
Mukhtar Ghulami (Fran),2023-2024,15,13,1,196,46,16.33,191,102.61,0,0,1,11,10
Sohail Tanvir (PAK),2007-2017,57,25,8,196,41,11.52,164,119.51,0,0,2,16,9
GD Arta (INA),2022-2024,21,14,4,195,33,19.5,248,78.62,0,0,1,13,7
J Coetzee (THAI),2023-2024,13,11,4,195,43*,27.85,161,121.11,0,0,1,13,8
R Baaleri (GHA),2021-2024,18,14,3,194,56*,17.63,258,75.19,0,1,0,11,2
Fawad Alam (PAK),2007-2010,24,17,6,194,28,17.63,169,114.79,0,0,1,7,7
K Mendon (CZK-R),2019-2021,17,13,7,194,45*,32.33,183,106.01,0,0,0,14,5
NK Tiwari (CYP),2021-2024,17,15,2,194,46,14.92,218,88.99,0,0,3,15,5
A Osei (GHA),2022-2024,12,11,0,193,72,17.54,232,83.18,0,1,1,16,1
OF Smith (WI),2018-2023,27,20,7,193,27*,14.84,138,139.85,0,0,2,13,12
Waseem Yaqoob (LES),2022-2024,12,11,2,193,50,21.44,200,96.5,0,1,0,14,8
J Alegra (PHI),2022-2023,16,14,1,192,41,14.76,249,77.1,0,0,1,10,4
Asad Shafiq (PAK),2010-2012,10,10,0,192,38,19.2,185,103.78,0,0,0,19,2
WP Masakadza (ZIM),2015-2024,53,29,9,192,34,9.6,209,91.86,0,0,2,12,5
Mukhtar Ahmed (PAK),2015-2015,6,6,0,192,83,32,134,143.28,0,2,0,23,5
Manpreet Singh (ITA),2019-2023,20,16,5,191,36,17.36,210,90.95,0,0,1,14,3
C Forbes (SWA/SWZ),2021-2023,15,14,0,190,31,13.57,219,86.75,0,0,1,26,3
DK Kesuma (INA),2023-2024,14,12,0,189,31,15.75,178,106.17,0,0,0,18,9
Naeem Gull (SWA/SWZ),2021-2022,13,13,1,189,63*,15.75,219,86.3,0,1,1,27,2
SR Patel (ENG),2011-2013,18,14,2,189,67,15.75,173,109.24,0,1,2,17,5
Umar Nawaz (SWE),2022-2022,9,9,0,189,56,21,188,100.53,0,1,0,16,9
Wahidullah Sahak (NOR),2021-2024,16,12,1,189,71*,17.18,169,111.83,0,2,1,16,7
IR Bell (ENG),2006-2014,8,8,1,188,60*,26.85,163,115.33,0,1,0,23,2
Ammad Uddin (BHR),2019-2021,12,11,3,187,41*,23.37,109,171.55,0,0,0,18,11
CJ Bowes (NZ),2023-2023,11,11,0,187,54,17,156,119.87,0,1,1,27,2
CD McMillan (NZ),2005-2007,8,7,1,187,57,31.16,117,159.82,0,1,0,8,14
SP Patil (UAE),2014-2016,18,13,0,187,37,14.38,218,85.77,0,0,3,16,4
KMA Paul (WI),2018-2022,23,16,7,187,29,20.77,166,112.65,0,0,2,10,11
GR Russ (PHI),2019-2023,21,17,4,187,43*,14.38,248,75.4,0,0,4,17,1
Fiaz Ahmed (BHR),2019-2023,12,12,3,185,62*,20.55,153,120.91,0,1,3,8,13
AA Jasani (TAN),2021-2021,6,6,1,185,90*,37,152,121.71,0,1,0,15,6
LA Musiani (Arg),2019-2023,16,16,2,185,44*,13.21,205,90.24,0,0,2,14,1
R Ashwin (IND),2010-2022,65,19,12,184,31*,26.28,160,115,0,0,0,17,4
LC Le Tissier (GUE),2019-2023,20,18,2,184,37,11.5,161,114.28,0,0,1,24,3
BJ Hodge (AUS),2007-2014,15,11,4,183,36,26.14,144,127.08,0,0,0,9,7
Mahmud Jasat (PAN),2021-2023,14,14,1,183,35,14.07,248,73.79,0,0,2,10,2
MW Short (AUS),2023-2024,9,8,0,183,66,22.87,104,175.96,0,1,1,20,9
KH Abe (JPN),2024-2024,14,11,0,181,80,16.45,137,132.11,0,1,2,14,10
AUKDS Kalugala (CYP),2022-2024,10,10,0,181,42,18.1,158,114.55,0,0,0,18,7
Nasrulla Rana (HKG),2019-2024,38,24,7,181,36*,10.64,157,115.28,0,0,4,11,11
A Gbla (SLE),2021-2023,27,22,3,180,29*,9.47,205,87.8,0,0,3,13,6
CAJ Meschede (GER),2019-2019,5,5,1,179,67,44.75,115,155.65,0,1,1,9,14
Mudassar Muhammad (GER),2019-2023,10,10,0,179,34,17.9,189,94.7,0,0,1,13,5
N Acawei (Fiji),2022-2023,10,10,1,178,48*,19.77,166,107.22,0,0,1,19,6
Anoop Orsu (LUX),2022-2024,19,17,4,178,58*,13.69,152,117.1,0,1,7,14,9
Nazimuddin (BAN),2007-2008,7,7,0,178,81,25.42,158,112.65,0,1,2,13,10
H Rashid (SWZ),2022-2023,15,15,2,178,38,13.69,202,88.11,0,0,2,18,5
SM Sharif (SCOT),2012-2024,68,29,16,178,26,13.69,157,113.37,0,0,3,10,5
Sidhant Singh (SGP),2019-2020,11,9,2,178,77,25.42,135,131.85,0,2,1,15,6
Waqar Ul Hassan (KSA),2023-2024,10,8,1,178,44,25.42,151,117.88,0,0,1,16,5
IS Sodhi (NZ),2014-2024,117,36,12,177,19,7.37,170,104.11,0,0,6,10,9
L Emilio (MOZ),2019-2022,24,18,4,176,31*,12.57,189,93.12,0,0,1,19,2
Gurdeep Singh (KENYA),2021-2024,11,10,0,176,44,17.6,183,96.17,0,0,1,20,3
Kaleem Shah (MOZ),2019-2019,7,7,1,176,72*,29.33,170,103.52,0,1,1,21,4
Mohammad Naveed (UAE),2015-2019,31,24,10,176,27*,12.57,147,119.72,0,0,3,17,8
Tarun Sharma (Mex),2019-2023,10,10,2,176,49*,22,173,101.73,0,0,1,13,6
Taskin Ahmed (BAN),2014-2024,67,33,15,176,31,9.77,184,95.65,0,0,6,16,6
Khalid Zahid (SWE),2021-2024,20,15,2,175,47*,13.46,125,140,0,0,0,16,6
P Suanchuai (THAI),2020-2023,18,16,2,175,37,12.5,273,64.1,0,0,1,7,5
H Rathod (QAT),2023-2024,17,12,5,175,47,25,158,110.75,0,0,0,12,5
Ritik Tomar (CZK-R),2022-2023,17,15,4,175,38,15.9,126,138.88,0,0,2,14,7
LPC Silva (SL),2006-2011,16,15,2,175,38,13.46,177,98.87,0,0,0,19,3
BS Stephenson (Blz),2019-2021,9,9,1,175,69,21.87,139,125.89,0,1,1,15,11
WD Parnell (SA),2009-2023,56,23,13,174,29*,17.4,180,96.66,0,0,1,13,4
JT Smuts (SA),2017-2021,13,13,0,174,45,13.38,165,105.45,0,0,1,18,6
S Tosic (SRB),2021-2024,22,14,4,174,40,17.4,295,58.98,0,0,1,12,0
L Vincent (NZ),2006-2007,9,9,0,174,42,19.33,174,100,0,0,1,17,3
Maidul Islam (EST),2021-2022,12,12,0,173,49,14.41,179,96.64,0,0,2,16,5
CD Wallace (SCOT),2012-2021,21,16,6,173,27,17.3,161,107.45,0,0,1,15,3
JD Allan (VAN),2022-2024,16,15,0,172,36,11.46,194,88.65,0,0,0,15,2
OGL Bascome (BER),2019-2021,17,17,2,172,22,11.46,178,96.62,0,0,0,16,6
Nouman Sarwar (QAT),2019-2019,14,9,6,172,47*,57.33,128,134.37,0,0,1,16,6
IK Pathan (IND),2006-2012,24,14,7,172,33*,24.57,144,119.44,0,0,0,9,7
GD Elliott (NZ/World),2009-2017,17,15,4,171,27,15.54,157,108.91,0,0,0,12,2
S Godara (CAM),2023-2024,16,12,6,171,36*,28.5,115,148.69,0,0,3,8,15
YSD Seneveratne (CAY),2019-2023,10,10,0,171,74,17.1,188,90.95,0,1,1,17,7
MNR Cooray (MDV),2019-2020,7,6,1,170,56*,34,148,114.86,0,1,0,21,3
N Nuntarach (THAI),2022-2024,27,22,2,170,24,8.5,245,69.38,0,0,6,11,1
Zain Ul Abidin (KSA),2021-2024,28,21,9,170,32*,14.16,149,114.09,0,0,3,9,7
Zain Ahmad (Fran),2022-2024,17,15,0,170,52,11.33,158,107.59,0,1,4,21,3
V Zimonjic (SRB),2021-2024,26,18,5,170,27*,13.07,165,103.03,0,0,2,18,5
R Abdulkareem (NGA),2021-2024,32,18,5,169,39,13,208,81.25,0,0,2,11,6
VE Tembo (MOZ),2019-2023,21,17,4,169,27*,13,188,89.89,0,0,2,16,2
M Vijay (IND),2010-2015,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8
H Niaz (Fran),2024-2024,10,10,0,168,53,16.8,117,143.58,0,1,1,17,8
MG Bracewell (NZ),2022-2024,22,15,5,167,61*,16.7,134,124.62,0,1,3,14,6
Omid Mailk Khel (Belg),2022-2024,12,11,3,167,30,20.87,162,103.08,0,0,0,11,5
O Bascome (BER),2019-2021,17,15,1,166,37,11.85,166,100,0,0,2,12,9
HJ Jordaan (THAI),2019-2020,8,8,1,166,37*,23.71,210,79.04,0,0,0,10,4
AL Phehlukwayo (SA),2017-2024,42,25,7,166,27*,9.22,153,108.49,0,0,7,16,5
A Pusthay (FIN),2019-2022,12,12,0,166,56,13.83,176,94.31,0,1,1,13,1
R Sakurano-Thomas (JPN),2022-2024,29,21,5,166,30,10.37,179,92.73,0,0,3,10,1
ME Trescothick (ENG),2005-2006,3,3,0,166,72,55.33,131,126.71,0,2,0,23,1
Irfan Hafejee (PAN),2021-2023,10,10,1,165,41,18.33,240,68.75,0,0,1,16,1
Umar Gul (PAK),2007-2016,60,27,9,165,32,9.16,156,105.76,0,0,6,11,10
Fitri Sham (MAS),2019-2024,45,23,7,164,40*,10.25,166,98.79,0,0,2,4,12
Sheikh Rasik (HUN),2023-2024,6,6,1,164,53,32.8,122,134.42,0,2,0,11,9
G Singh (USA),2021-2024,13,9,2,164,65,23.42,131,125.19,0,2,2,8,11
Waqas Khan (HKG),2014-2020,16,14,4,164,60,16.4,189,86.77,0,1,1,6,5
Adnan Mirza (QAT),2023-2024,14,12,0,163,30,13.58,134,121.64,0,0,0,26,2
TN de Grooth (NED),2008-2013,15,13,5,163,49,20.37,155,105.16,0,0,0,16,1
Muhammad Siddiqui (SVN),2022-2024,9,9,0,163,48,18.11,137,118.97,0,0,1,15,8
Zawar Farid (UAE),2019-2023,18,16,3,163,55,12.53,127,128.34,0,1,2,12,8
Abdul Hashmi (DEN),2019-2024,23,16,4,162,31,13.5,168,96.42,0,0,4,12,2
Mohammad Yasin (ESP),2022-2024,8,8,0,162,34,20.25,132,122.72,0,0,0,16,6
H Davids (SA),2012-2013,9,9,0,161,68,17.88,134,120.14,0,2,2,18,4
Waqas Ahmad (MLT),2023-2023,15,12,4,161,53*,20.12,100,161,0,1,3,10,12
Samir Patel (LES),2021-2022,13,12,2,160,35*,16,158,101.26,0,0,2,13,5
JK Theodore (GHA),2021-2024,38,27,4,160,22*,6.95,176,90.9,0,0,5,8,5
Aayan Afzal Khan (UAE),2022-2024,33,16,4,159,42,13.25,172,92.44,0,0,1,12,2
JP Faulkner (AUS),2012-2017,24,18,7,159,41*,14.45,138,115.21,0,0,0,7,5
Junaid Siddique (BAN),2007-2012,7,7,0,159,71,22.71,108,147.22,0,1,1,16,7
RR Watson (SCOT),2007-2010,10,9,0,159,54,17.66,141,112.76,0,1,1,22,1
RGA Amah (CAM),2021-2023,17,16,0,158,20,9.87,219,72.14,0,0,1,13,1
PJ Cummins (AUS),2011-2024,57,27,12,158,28,10.53,133,118.79,0,0,4,11,7
R Nath (TKY),2022-2024,12,11,1,158,38,15.8,177,89.26,0,0,0,12,6
